190, 0.14, 5282
192, 0.14, 5193
173, 0.13, 5743
214, 0.16, 4640
194, 0.14, 5304
226, 0.17, 4424
227, 0.17, 4413
218, 0.16, 4595
218, 0.16, 4567
217, 0.16, 4623
212, 0.16, 4737
215, 0.16, 4685
232, 0.17, 4299
221, 0.16, 4521
216, 0.16, 4643
201, 0.15, 5009
226, 0.17, 4426
225, 0.16, 4450
206, 0.15, 4873
229, 0.17, 4371
222, 0.16, 4504
213, 0.16, 4719
216, 0.16, 4644
223, 0.16, 4477
223, 0.16, 4498
224, 0.16, 4481
208, 0.15, 4551
218, 0.16, 4918
210, 0.15, 4791
225, 0.16, 4464
221, 0.16, 4534
229, 0.17, 4363
201, 0.15, 5010
