54, 0.04, 18474
52, 0.04, 19202
68, 0.05, 14717
79, 0.06, 11871
83, 0.06, 12798
96, 0.07, 10437
93, 0.07, 10754
84, 0.06, 11882
92, 0.07, 10960
87, 0.06, 11453
87, 0.06, 11515
87, 0.06, 11430
83, 0.06, 10921
83, 0.06, 13288
93, 0.07, 10770
86, 0.06, 11670
92, 0.07, 10820
93, 0.07, 10723
94, 0.07, 10716
80, 0.06, 12417
95, 0.07, 10596
88, 0.06, 11395
93, 0.07, 10678
97, 0.07, 10395
93, 0.07, 10779
93, 0.07, 10657
87, 0.06, 11604
96, 0.07, 10348
96, 0.07, 10450
96, 0.07, 10461
90, 0.07, 11133
82, 0.06, 12109
87, 0.06, 11557
97, 0.07, 10344
