90, 0.07, 10966
93, 0.07, 10727
83, 0.06, 12169
117, 0.09, 8543
123, 0.09, 8176
126, 0.09, 2338818
120, 0.09, 2313249
116, 0.08, 2304309
117, 0.09, 2192146
112, 0.08, 1959218
102, 0.07, 2846178
119, 0.09, 2208144
121, 0.09, 2421465
70, 0.05, 2623189
124, 0.09, 2528972
121, 0.09, 2606632
122, 0.09, 2451729
124, 0.09, 2403514
120, 0.09, 2103984
115, 0.08, 1990740
121, 0.09, 1962669
126, 0.09, 2348361
122, 0.09, 2138920
124, 0.09, 1946023
122, 0.09, 2204006
116, 0.08, 2064213
126, 0.09, 2195286
124, 0.09, 2121219
127, 0.09, 2445057
123, 0.09, 2153094
112, 0.08, 2372120
121, 0.09, 2415520
121, 0.09, 2198192
121, 0.09, 1659893
123, 0.09, 2088326
123, 0.09, 2319893
114, 0.08, 2573614
121, 0.09, 2481290
123, 0.09, 2641003
116, 0.08, 2463248
110, 0.08, 2848537
122, 0.09, 2550519
